Tyruss Himes,backgroundVoice,S10002,CO0619,RO0011,,Andrew Watt,CO0034,,fiddle,RO0034,,,,,,Republic Rercords,RL0034,,M0001,RL0011,S10032, 2002-01-28 00:00:00,Blue Note,Don't know why,Global
Drew Brown,rhythmGuitar,S10002,CO0166,RO0065,,Andrew Wotman,CO0035,,flugelHorn,RO0035,,,,,,Roc-A-Fella Reccords,RL0035,,M0001,RL0007,S10033, 1971-11-08 00:00:00,Atlantic,Stairway To Heaven,Global
Rick Clifford,engineer,S10002,CO0516,RO0032,,Andy Chatterley,CO0036,,flute,RO0036,,,,,,Rostrum Records,RL0036,,M0001,RL0018,S10034, 2016-02-05 00:00:00,Dualtone Records,Ophelia,Global
Tupac Amaru Shakur,leadVoice,S10002,CO0617,RO0047,,Andy Johns,CO0037,,glockenspiel,RO0037,,,,,,Walt Disney,RL0037,,M0001,RL0035,S10035, 2007-09-11 00:00:00,Roc-A-Fella Reccords,,Global
Alvin McGill,assistantEngineer,S10002,CO0024,RO0006,,Andy Wallace,CO0038,,gong,RO0038,,,,,,XL Recordings,RL0038,,M0001,RL0016,S10036, 1999-06-28 00:00:00,Distinct'ive Breaks,Finished Symphony,Global
Garmaise,dataSanitization,S10002,CO0202,RO0024,,Annie,CO0039,,grandPiano,RO0039,,,,,,XO,RL0039,,M0001,RL0013,S10037, 1990-08-21 00:00:00,Columbia,We Die Young,Global
Brian Gardner,mastering,S10002,CO0075,RO0051,,Anthony Peterson,CO0040,,guitar,RO0040,,,,,,Young Money,RL0040,,M0001,RL0022,S10038, 2012-07-17 00:00:00,Fearless Records,King for a Day,Global
Ryan Lipman,assistantMixingEngineer,S10002,CO0538,RO0007,,Anton Fig,CO0041,,hammondOrgan,RO0041,,,,,,ZTM Collections,RL0041,,M0001,RL0030,S10039, 2010-03-03 00:00:00,Parlophone,Rhinestone Eyes,Global
Johnny Lee Jackson,producer,S10002,CO0315,RO0062,,Ari Levine,CO0042,,harp,RO0042,,,,,,,,,M0001,RL0025,S10040, 1999-05-04 00:00:00,Interscope,All Star,Global
Zach Filkins,acousticGuitar,S10002,CO0642,RO0001,,Arif Mardin,CO0043,,instrumentTechnician,RO0043,,,,,,,,,M0001,RL0001,S10041, 2014-08-25 00:00:00,222 Records,Animals,Global
Babin,dataCollection,S10002,CO0052,RO0023,,Arijan Vujica,CO0044,,keyboard,RO0044,,,,,,,,,M0001,RL0011,S10042, 2016-08-20 00:00:00,BOYS DON'T CRY,White Ferrari,Global
Martin Gore,synthesizer,S10003,CO0398,RO0076,,Artie Smith,CO0045,,keyboardAndSynthesizer,RO0045,,,,,,,,,M0001,RL0007,S10043, 2012-08-01 00:00:00,Atlantic,Locked Out Of Heaven,Global
