D.M.C.,voice,S10018,CO0117,RO0086,,Matt Green,CO0404,,,,,,,,,,,,,,,,,,
Run-D.M.C.,voice,S10018,CO0534,RO0086,,Matt Helders,CO0405,,,,,,,,,,,,,,,,,,
Masterdisk,studio,S10018,CO0399,RO0073,,Matt Shultz,CO0406,,,,,,,,,,,,,,,,,,
Chung King Studios,studio,S10018,CO0110,RO0073,,Matt Wiggins,CO0407,,,,,,,,,,,,,,,,,,
Shakedown Sound Studios,studio,S10018,CO0556,RO0073,,Matthan Minster,CO0408,,,,,,,,,,,,,,,,,,
Sound Track Recording,studio,S10018,CO0568,RO0073,,Matthew Sheeran,CO0409,,,,,,,,,,,,,,,,,,
Magic VEnture Studios,studio,S10018,CO0376,RO0073,,Matthew Tryba,CO0410,,,,,,,,,,,,,,,,,,
New York City,studio,S10018,CO0450,RO0073,,Mattias Bylund,CO0411,,,,,,,,,,,,,,,,,,
Jam Master Jay,keyboard,S10018,CO0262,RO0044,,Mattias Johansson,CO0412,,,,,,,,,,,,,,,,,,
Larry Smith,lyricist,S10018,CO0352,RO0049,,Mattias Larsson,CO0413,,,,,,,,,,,,,,,,,,
Rick Rubin,lyricist,S10018,CO0517,RO0049,,Mattias Per Larsson,CO0414,,,,,,,,,,,,,,,,,,
Jam Master Jay,lyricist,S10018,CO0262,RO0049,,Max Bernstein,CO0415,,,,,,,,,,,,,,,,,,
Rev Run,lyricist,S10018,CO0514,RO0049,,Max Lord,CO0416,,,,,,,,,,,,,,,,,,
D.M.C.,lyricist,S10018,CO0117,RO0049,,Max Martin,CO0417,,,,,,,,,,,,,,,,,,
Steve Ett,engineer,S10018,CO0573,RO0032,,Mel-Man,CO0418,,,,,,,,,,,,,,,,,,
Peter Millius,engineer,S10018,CO0490,RO0032,,Melanie Fontana,CO0419,,,,,,,,,,,,,,,,,,
Jay Burnett,engineer,S10018,CO0275,RO0032,,Merethe Soltvedt,CO0420,,,,,,,,,,,,,,,,,,
Andy Wallace,engineer,S10018,CO0038,RO0032,,Metro Voices,CO0421,,,,,,,,,,,,,,,,,,
Jam Master Jay,co-producer,S10018,CO0262,RO0022,,Mic Michaeli,CO0422,,,,,,,,,,,,,,,,,,
Rev Run,co-producer,S10018,CO0514,RO0022,,Michael Ilbert,CO0423,,,,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10018,CO0202,RO0024,,Michael Jackson,CO0424,,,,,,,,,,,,,,,,,,
Howie Weinberg,mastering,S10018,CO0236,RO0051,,Michael Park,CO0425,,,,,,,,,,,,,,,,,,
Hristov,dataCollection,S10018,CO0237,RO0023,,Michael Polonchak,CO0426,,,,,,,,,,,,,,,,,,
Taylor Swift,lyricist,S10019,CO0587,RO0049,,Michael Riddleberger,CO0427,,,,,,,,,,,,,,,,,,
Shellback,lyricist,S10019,CO0558,RO0049,,Michael Thompson,CO0428,,,,,,,,,,,,,,,,,,
Max Martin,lyricist,S10019,CO0417,RO0049,,Michael Urbano,CO0429,,,,,,,,,,,,,,,,,,
Matt Billingslea,drum,S10019,CO0402,RO0028,,Micheal Urbano,CO0430,,,,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10019,CO0202,RO0024,,Mickey Madden,CO0431,,,,,,,,,,,,,,,,,,
RTom Coyne,mastering,S10019,CO0533,RO0051,,Mike Bozzi,CO0432,,,,,,,,,,,,,,,,,,
Matt Billingslea,percussion,S10019,CO0402,RO0059,,Mike Clink,CO0433,,,,,,,,,,,,,,,,,,
Shellback,acousticGuitar,S10019,CO0558,RO0001,,Mike Elizondo,CO0434,,,,,,,,,,,,,,,,,,
Huang,dataCollection,S10019,CO0239,RO0023,,Mike Fuentes,CO0435,,,,,,,,,,,,,,,,,,
Paul Sidoti,bassGuitar,S10019,CO0483,RO0013,,Mike Meadows,CO0436,,,,,,,,,,,,,,,,,,
Max Martin,keyboard,S10019,CO0417,RO0044,,Mike Posner,CO0437,,,,,,,,,,,,,,,,,,
Mattias Johansson,violin,S10019,CO0412,RO0085,,Mike Starr,CO0438,,,,,,,,,,,,,,,,,,
Taylor Swift,composer,S10019,CO0587,RO0019,,Mike Truman,CO0439,,,,,,,,,,,,,,,,,,
Max Martin,composer,S10019,CO0417,RO0019,,Mikkel Storleer Eriksen,CO0440,,,,,,,,,,,,,,,,,,
John Hanes,mixingEngineer,S10019,CO0306,RO0054,,Miku Kobato,CO0441,,,,,,,,,,,,,,,,,,
Taylor Swift,backgroundVoice,S10019,CO0587,RO0011,,Miles Walker,CO0442,,,,,,,,,,,,,,,,,,
John Hanes,engineer,S10019,CO0306,RO0032,,Mixy Twixy,CO0443,,,,,,,,,,,,,,,,,,
Christopher Rowe,engineer,S10019,CO0109,RO0032,,Murillo,CO0444,,,,,,,,,,,,,,,,,,
Randy Merrill,engineer,S10019,CO0512,RO0032,,Natalie Spehar,CO0445,,,,,,,,,,,,,,,,,,
David Bukovinszky ,cello,S10019,CO0117,RO0015,,Natasha Colkett,CO0446,,,,,,,,,,,,,,,,,,
Taylor Swift,leadVoice,S10019,CO0587,RO0047,,Nate Hertweck,CO0447,,,,,,,,,,,,,,,,,,
Michael Ilbert,recordingEngineer,S10019,CO0423,RO0064,,Needlz,CO0448,,,,,,,,,,,,,,,,,,
Sam Holland,recordingEngineer,S10019,CO0543,RO0064,,Neil Campesinos!,CO0449,,,,,,,,,,,,,,,,,,
Mattias Bylund,recordingEngineer,S10019,CO0411,RO0064,,Neil Jason,CO0450,,,,,,,,,,,,,,,,,,
Shellback,producer,S10019,CO0558,RO0062,,"New York City, New York",CO0451,,,,,,,,,,,,,,,,,,
Max Martin,producer,S10019,CO0417,RO0062,,Neyla Pekarek,CO0452,,,,,,,,,,,,,,,,,,
Shellback,electricGuitar,S10019,CO0558,RO0031,,Nicholas Vegas,CO0453,,,,,,,,,,,,,,,,,,
Christopher Rowe,voiceEngineering,S10019,CO0109,RO0087,,Nick Bockrath,CO0454,,,,,,,,,,,,,,,,,,
Ed Sheeran,lyricist,S10020,CO0167,RO0049,,Nick Movshon,CO0455,,,,,,,,,,,,,,,,,,
Joe Rubel,rhythmGuitar,S10020,CO0297,RO0065,,Nick O'Malley,CO0456,,,,,,,,,,,,,,,,,,
Ed Sheeran,drum,S10020,CO0167,RO0028,,Nikolaj Torp Larsen,CO0457,,,,,,,,,,,,,,,,,,
Laurence Love Greed,piano,S10020,CO0354,RO0060,,Noah Passovoy,CO0458,,,,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10020,CO0202,RO0024,,Noah40Shebib,CO0459,,,,,,,,,,,,,,,,,,
Stuart Hawkes,mastering,S10020,CO0580,RO0051,,Noel Cadastre,CO0460,,,,,,,,,,,,,,,,,,
Ed Sheeran,percussion,S10020,CO0167,RO0059,,Noel Campbell,CO0461,,,,,,,,,,,,,,,,,,
Geoff Swan,assistantMixingEngineer,S10020,CO0203,RO0007,,Noel Patrick Zancanella,CO0462,,,,,,,,,,,,,,,,,,
Ed Sheeran,acousticGuitar,S10020,CO0167,RO0001,,Norah Jones,CO0463,,,,,,,,,,,,,,,,,,
Huynh,dataCollection,S10020,CO0240,RO0023,,Norman Smith,CO0464,,,,,,,,,,,,,,,,,,
Joe Rubel,bassGuitar,S10020,CO0297,RO0013,,Obadia,CO0465,,,,,,,,,,,,,,,,,,
Ed Sheeran,bassGuitar,S10020,CO0167,RO0013,,Ollie Campesinos!,CO0466,,,,,,,,,,,,,,,,,,
Ed Sheeran,composer,S10020,CO0167,RO0019,,Om'Mas Keith,CO0467,,,,,,,,,,,,,,,,,,
Matthew Sheeran,composer,S10020,CO0409,RO0019,,OneRepublic,CO0468,,,,,,,,,,,,,,,,,,
Geoff Swan,mixingEngineer,S10020,CO0203,RO0054,,Onipchenko,CO0469,,,,,,,,,,,,,,,,,,
Ed Sheeran,backgroundVoice,S10020,CO0167,RO0011,,Orfanidis,CO0470,,,,,,,,,,,,,,,,,,
Joe Rubel,engineer,S10020,CO0297,RO0032,,Oscar Holter,CO0471,,,,,,,,,,,,,,,,,,
Peter Gregson,cello,S10020,CO0488,RO0015,,Oscar Hotler,CO0472,,,,,,,,,,,,,,,,,,
Ed Sheeran,leadVoice,S10020,CO0167,RO0047,,Ozzy Osbourne,CO0473,,,,,,,,,,,,,,,,,,
Paul Pritchard,assistantEngineer,S10020,CO0482,RO0006,,PJ Morton,CO0474,,,,,,,,,,,,,,,,,,
Jack Fairbrother,assistantEngineer,S10020,CO0257,RO0006,,Park Jin Hee,CO0475,,,,,,,,,,,,,,,,,,
Ed Sheeran,producer,S10020,CO0167,RO0062,,Park Jun Tae,CO0476,,,,,,,,,,,,,,,,,,
Will Hicks,producer,S10020,CO0630,RO0062,,Paul De Lisle,CO0477,,,,,,,,,,,,,,,,,,
Joe Rubel,producer,S10020,CO0297,RO0062,,Paul Epworth,CO0478,,,,,,,,,,,,,,,,,,
Joe Rubel,drumProgramming,S10020,CO0297,RO0030,,Paul Jackson Jr.,CO0479,,,,,,,,,,,,,,,,,,
Ed Sheeran,drumProgramming,S10020,CO0167,RO0030,,Paul Lamalfa,CO0480,,,,,,,,,,,,,,,,,,
Birdman West,studio,S10021,CO0064,RO0073,,Paul McCartney,CO0481,,,,,,,,,,,,,,,,,,
MISA,bassGuitar,S10021,CO0442,RO0013,,Paul Pritchard,CO0482,,,,,,,,,,,,,,,,,,
Kentaro Akutsu,lyricist,S10021,CO0334,RO0049,,Paul Sidoti,CO0483,,,,,,,,,,,,,,,,,,
Kentaru Akutsu,composer,S10021,CO0335,RO0019,,Pdogg,CO0484,,,,,,,,,,,,,,,,,,
Miku Kobato,backgroundVoice,S10021,CO0441,RO0011,,Pereira Costa,CO0485,,,,,,,,,,,,,,,,,,
Hirose Akane,drum,S10021,CO0232,RO0028,,Pete Hutchings,CO0486,,,,,,,,,,,,,,,,,,
Saiki Atsumi,leadVoice,S10021,CO0542,RO0047,,Peter Gosling,CO0487,,,,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10021,CO0202,RO0024,,Peter Gregson,CO0488,,,,,,,,,,,,,,,,,,
Miku Kobato,electricGuitar,S10021,CO0441,RO0031,,Peter Iversen,CO0489,,,,,,,,,,,,,,,,,,
Kanami Tèçno,electricGuitar,S10021,CO0329,RO0031,,Peter Millius,CO0490,,,,,,,,,,,,,,,,,,
Hu,dataCollection,S10021,CO0238,RO0023,,Peter Wood,CO0491,,,,,,,,,,,,,,,,,,
David Paton,bassGuitar,S10022,CO0117,RO0013,,Phil Bonanno,CO0492,,,,,,,,,,,,,,,,,,
Eric Woolfson,keyboard,S10022,CO0183,RO0044,,Phil Collins,CO0493,,,,,,,,,,,,,,,,,,
Eric Woolfson,lyricist,S10022,CO0183,RO0049,,Phil Legg,CO0494,,,,,,,,,,,,,,,,,,
Alan Parsons,composer,S10022,CO0007,RO0019,,Phil Seaford,CO0495,,,,,,,,,,,,,,,,,,
Eric Woolfson,composer,S10022,CO0183,RO0019,,Phil Tan,CO0496,,,,,,,,,,,,,,,,,,
Stuart Tosh,drum,S10022,CO0581,RO0028,,Philip G. Atwell,CO0497,,,,,,,,,,,,,,,,,,
Alan Parsons,engineer,S10022,CO0007,RO0032,,Philip Lawrence,CO0498,,,,,,,,,,,,,,,,,,
Ian Bairnson,guitar,S10022,CO0244,RO0040,,Pino pischetola,CO0499,,,,,,,,,,,,,,,,,,
Lenny Zakatek,leadVoice,S10022,CO0363,RO0047,,Pontolillo,CO0500,,,,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10022,CO0202,RO0024,,Post Malone,CO0501,,,,,,,,,,,,,,,,,,
Alan Parsons,producer,S10022,CO0007,RO0062,,Prasanna,CO0502,,,,,,,,,,,,,,,,,,
Internoscia,dataCollection,S10022,CO0247,RO0023,,Quaz,CO0503,,,,,,,,,,,,,,,,,,
H.O.S,studio,S10023,CO0220,RO0073,,Quincy Jones,CO0504,,,,,,,,,,,,,,,,,,
Steve Harwell,voice,S10023,CO0574,RO0086,,RM,CO0505,,,,,,,,,,,,,,,,,,
Paul De Lisle,voice,S10023,CO0477,RO0086,,RTom Coyne,CO0506,,,,,,,,,,,,,,,,,,
Greg Camp,lyricist,S10023,CO0212,RO0049,,Rabanal,CO0507,,,,,,,,,,,,,,,,,,
Greg Camp,composer,S10023,CO0212,RO0019,,Rachael Findlen,CO0508,,,,,,,,,,,,,,,,,,
Eric Valentine,mixing,S10023,CO0182,RO0052,,Ralf Scheepers,CO0509,,,,,,,,,,,,,,,,,,
Greg Camp,backgroundVoice,S10023,CO0212,RO0011,,Ramirez Mejia,CO0510,,,,,,,,,,,,,,,,,,
Micheal Urbano,drum,S10023,CO0430,RO0028,,Randy Merril,CO0511,,,,,,,,,,,,,,,,,,
Eric Valentine,engineer,S10023,CO0182,RO0032,,Randy Merrill,CO0512,,,,,,,,,,,,,,,,,,
Trevor Adkinson,engineer,S10023,CO0614,RO0032,,Rayvich,CO0513,,,,,,,,,,,,,,,,,,
Greg Camp,guitar,S10023,CO0212,RO0040,,Rev Run,CO0514,,,,,,,,,,,,,,,,,,
Paul De Lisle,bass,S10023,CO0477,RO0012,,Rick Chertoff,CO0515,,,,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10023,CO0202,RO0024,,Rick Clifford,CO0516,,,,,,,,,,,,,,,,,,
Greg Camp,additionalKeyboard,S10023,CO0212,RO0003,,Rick Rubin,CO0517,,,,,,,,,,,,,,,,,,
Brian Gardner,mastering,S10023,CO0075,RO0051,,Ringo Starr,CO0518,,,,,,,,,,,,,,,,,,
Eric Valentine,producer,S10023,CO0182,RO0062,,Rob Cavallo,CO0519,,,,,,,,,,,,,,,,,,
Ivan,dataCollection,S10023,CO0251,RO0023,,Rob Hyman,CO0520,,,,,,,,,,,,,,,,,,
Ozzy Osbourne,voice,S10024,CO0473,RO0086,,Robbie Meza,CO0521,,,,,,,,,,,,,,,,,,
Travis Scott,voice,S10024,CO0613,RO0086,,Robert Plant,CO0522,,,,,,,,,,,,,,,,,,
Andrew Watt,lyricist,S10024,CO0034,RO0049,,Robert Vosgien,CO0523,,,,,,,,,,,,,,,,,,
Billy Walsh,lyricist,S10024,CO0063,RO0049,,Robidoux,CO0524,,,,,,,,,,,,,,,,,,
Ozzy Osbourne,lyricist,S10024,CO0473,RO0049,,Robin Florent,CO0525,,,,,,,,,,,,,,,,,,
Post Malone,lyricist,S10024,CO0501,RO0049,,Robin Fredriksson,CO0526,,,,,,,,,,,,,,,,,,
Louis Bell,lyricist,S10024,CO0371,RO0049,,Robin Lennart Fredriksson,CO0527,,,,,,,,,,,,,,,,,,
Travis Scott,lyricist,S10024,CO0613,RO0049,,Roger Taylor,CO0528,,,,,,,,,,,,,,,,,,
Austin Richard Post,composer,S10024,CO0049,RO0019,,Ron Champagne,CO0529,,,,,,,,,,,,,,,,,,
Manny Marroquin,mixingEngineer,S10024,CO0386,RO0054,,Ronald LaTour,CO0530,,,,,,,,,,,,,,,,,,
Chad Smith,drum,S10024,CO0093,RO0028,,Ronald Moono,CO0531,,,,,,,,,,,,,,,,,,
Post Malone,leadVoice,S10024,CO0501,RO0047,,Ross Orton,CO0532,,,,,,,,,,,,,,,,,,
Louis Bell,recordingEngineer,S10024,CO0371,RO0064,,Roy Thomas Baker,CO0533,,,,,,,,,,,,,,,,,,
Paul Lamalfa,recordingEngineer,S10024,CO0480,RO0064,,Run-D.M.C.,CO0534,,,,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10024,CO0202,RO0024,,Russian Federal Orchestra,CO0535,,,,,,,,,,,,,,,,,,
Mike Bozzi,mastering,S10024,CO0432,RO0051,,Ryan Hewitt,CO0536,,,,,,,,,,,,,,,,,,
Chris Galland,assistantMixingEngineer,S10024,CO0100,RO0007,,Ryan Knotl,CO0537,,,,,,,,,,,,,,,,,,
Robin Florent,assistantMixingEngineer,S10024,CO0525,RO0007,,Ryan Lipman,CO0538,,,,,,,,,,,,,,,,,,
Scott Desmarais,assistantMixingEngineer,S10024,CO0546,RO0007,,Ryan McCormick,CO0539,,,,,,,,,,,,,,,,,,
Andrew Watt,producer,S10024,CO0034,RO0062,,Ryan Tedder,CO0540,,,,,,,,,,,,,,,,,,
Louis Bell,producer,S10024,CO0371,RO0062,,Ryan Zinings,CO0541,,,,,,,,,,,,,,,,,,
Andrew Watt,electricGuitar,S10024,CO0034,RO0031,,Saiki Atsumi,CO0542,,,,,,,,,,,,,,,,,,
Khan,dataCollection,S10024,CO0342,RO0023,,Sam Holland,CO0543,,,,,,,,,,,,,,,,,,
Matthan Minster,keyboard,S10025,CO0408,RO0044,,Samantha Boshnack,CO0544,,,,,,,,,,,,,,,,,,
Daniel Tichenor,lyricist,S10025,CO0117,RO0049,,Scott Chopps,CO0545,,,,,,,,,,,,,,,,,,
Matt Shultz,lyricist,S10025,CO0406,RO0049,,Scott Desmarais,CO0546,,,,,,,,,,,,,,,,,,
Brad Shultz,lyricist,S10025,CO0071,RO0049,,Scott Yarmovsky,CO0547,,,,,,,,,,,,,,,,,,
Lincoln Parish,lyricist,S10025,CO0369,RO0049,,Sean Hutchinson,CO0548,,,,,,,,,,,,,,,,,,
Jared Champion,lyricist,S10025,CO0270,RO0049,,Sean Kinney,CO0549,,,,,,,,,,,,,,,,,,
Ben Baptie,mixing,S10025,CO0054,RO0052,,Sean Klein,CO0550,,,,,,,,,,,,,,,,,,
Matthan Minster,backgroundVoice,S10025,CO0408,RO0011,,Sebastian AkchotÇ,CO0551,,,,,,,,,,,,,,,,,,
Nick Bockrath,backgroundVoice,S10025,CO0454,RO0011,,Serban Ghenea,CO0552,,,,,,,,,,,,,,,,,,
Jared Champion,drum,S10025,CO0270,RO0028,,Serben Ghenea,CO0553,,,,,,,,,,,,,,,,,,
Matt Shultz,leadVoice,S10025,CO0406,RO0047,,Serj Tankian,CO0554,,,,,,,,,,,,,,,,,,
Daniel Tichenor,bass,S10025,CO0117,RO0012,,Serj tankian,CO0555,,,,,,,,,,,,,,,,,,
Ben Baptie,recordingEngineer,S10025,CO0054,RO0064,,Shakedown Sound Studios,CO0556,,,,,,,,,,,,,,,,,,
Nick Bockrath,strings,S10025,CO0454,RO0072,,Shavo Odadjian,CO0557,,,,,,,,,,,,,,,,,,
Charles Callahan,strings,S10025,CO0094,RO0072,,Shellback,CO0558,,,,,,,,,,,,,,,,,,
Kaitlin Moreno,strings,S10025,CO0328,RO0072,,Shin Kamiyama,CO0559,,,,,,,,,,,,,,,,,,
Michael Polonchak,strings,S10025,CO0426,RO0072,,Shreya Ghoshal,CO0560,,,,,,,,,,,,,,,,,,
Natalie Spehar,strings,S10025,CO0445,RO0072,,Sidney Sax,CO0561,,,,,,,,,,,,,,,,,,
Ryan Knotl,strings,S10025,CO0537,RO0072,,Simon Rhodes,CO0562,,,,,,,,,,,,,,,,,,
Andrea Vogt,strings,S10025,CO0031,RO0072,,Simone Felice,CO0563,,,,,,,,,,,,,,,,,,
Austin Hoke,strings,S10025,CO0048,RO0072,,Sivakolunthu,CO0564,,,,,,,,,,,,,,,,,,
Kristin Weber,strings,S10025,CO0347,RO0072,,Smith Carlson,CO0565,,,,,,,,,,,,,,,,,,
Alexander Grimes,strings,S10025,CO0019,RO0072,,Sologub,CO0566,,,,,,,,,,,,,,,,,,
Emily Nelson,strings,S10025,CO0175,RO0072,,"Sony Music Studios, NYC",CO0567,,,,,,,,,,,,,,,,,,
Avery Bright,strings,S10025,CO0050,RO0072,,Sound Track Recording,CO0568,,,,,,,,,,,,,,,,,,
Carl Larson,strings,S10025,CO0089,RO0072,,Stargate,CO0569,,,,,,,,,,,,,,,,,,
Gina Corso,strings,S10025,CO0206,RO0072,,Stepehn Marcussen,CO0570,,,,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10025,CO0202,RO0024,,Stephan Ellis,CO0571,,,,,,,,,,,,,,,,,,
Matthan Minster,vibraphone,S10025,CO0408,RO0083,,Stephen Sedgwick,CO0572,,,,,,,,,,,,,,,,,,
Randy Merrill,mastering,S10025,CO0512,RO0051,,Steve Ett,CO0573,,,,,,,,,,,,,,,,,,
Kyle Davis,percussion,S10025,CO0348,RO0059,,Steve Harwell,CO0574,,,,,,,,,,,,,,,,,,
Matthan Minster,percussion,S10025,CO0408,RO0059,,Steve King,CO0575,,,,,,,,,,,,,,,,,,
Nick Bockrath,acousticGuitar,S10025,CO0454,RO0001,,Steve Lukather,CO0576,,,,,,,,,,,,,,,,,,
Daniel Tichenor,acousticGuitar,S10025,CO0117,RO0001,,Steve Lyon,CO0577,,,,,,,,,,,,,,,,,,
Brad Shultz,acousticGuitar,S10025,CO0071,RO0001,,Steve Porcaro,CO0578,,,,,,,,,,,,,,,,,,
Matt Shultz,acousticGuitar,S10025,CO0406,RO0001,,Steven S Miller,CO0579,,,,,,,,,,,,,,,,,,
Labrecque,dataCollection,S10025,CO0349,RO0023,,Stuart Hawkes,CO0580,,,,,,,,,,,,,,,,,,
Arvin Danny Jeyathasan,lyricist,S10026,CO0046,RO0049,,Stuart Tosh,CO0581,,,,,,,,,,,,,,,,,,
Zensei,composer,S10026,CO0643,RO0019,,Suga,CO0582,,,,,,,,,,,,,,,,,,
Zensei,mixingEngineer,S10026,CO0643,RO0054,,Takata,CO0583,,,,,,,,,,,,,,,,,,
Viktoria Sunshine,leadVoice,S10026,CO0624,RO0047,,Takeshi Taneda,CO0584,,,,,,,,,,,,,,,,,,
Merethe Soltvedt,leadVoice,S10026,CO0420,RO0047,,Tang,CO0585,,,,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10026,CO0202,RO0024,,Tatsuya Sato,CO0586,,,,,,,,,,,,,,,,,,
Zensei,mastering,S10026,CO0643,RO0051,,Taylor Swift,CO0587,,,,,,,,,,,,,,,,,,
Zensei,producer,S10026,CO0643,RO0062,,Tchad Blake,CO0588,,,,,,,,,,,,,,,,,,
Laramee Pelosse,dataCollection,S10026,CO0350,RO0023,,Tebeng Nzodoum,CO0589,,,,,,,,,,,,,,,,,,
Mike Elizondo,bassGuitar,S10027,CO0434,RO0013,,Ted Jensen,CO0590,,,,,,,,,,,,,,,,,,
Tommy Coster,keyboard,S10027,CO0608,RO0044,,Ted Poley,CO0591,,,,,,,,,,,,,,,,,,
Eminem,lyricist,S10027,CO0177,RO0049,,Tess Varley,CO0592,,,,,,,,,,,,,,,,,,
Ander Young,composer,S10027,CO0028,RO0019,,The 45 King,CO0593,,,,,,,,,,,,,,,,,,
Marshall Mathers,composer,S10027,CO0396,RO0019,,The Influence,CO0594,,,,,,,,,,,,,,,,,,
Tommy Coster,composer,S10027,CO0608,RO0019,,"The Record Plant, Hollywood, CA",CO0595,,,,,,,,,,,,,,,,,,
Dr.Dre,mixingEngineer,S10027,CO0164,RO0054,,The Smeezingtons,CO0596,,,,,,,,,,,,,,,,,,
Eminem,leadVoice,S10027,CO0177,RO0047,,The Weeknd,CO0597,,,,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10027,CO0202,RO0024,,Thomas Bowes,CO0598,,,,,,,,,,,,,,,,,,
Dr.Dre,producer,S10027,CO0164,RO0062,,Tim Gomringer,CO0599,,,,,,,,,,,,,,,,,,
Mel-Man,producer,S10027,CO0419,RO0062,,Tim Pierce,CO0600,,,,,,,,,,,,,,,,,,
Lelichev,dataCollection,S10027,CO0360,RO0023,,Tim Roberts,CO0601,,,,,,,,,,,,,,,,,,
Amirbai Karnataki,lyricist,S10028,CO0025,RO0049,,Toledo,CO0602,,,,,,,,,,,,,,,,,,
DJ Frank E,harp,S10028,CO0120,RO0042,,Tom Bahler,CO0603,,,,,,,,,,,,,,,,,,
DJ Frank E,harp,S10028,CO0120,RO0042,,Tom Campesinos!,CO0604,,,,,,,,,,,,,,,,,,
Drew Brown,rhythmGuitar,S10028,CO0166,RO0065,,Tom Coyne,CO0605,,,,,,,,,,,,,,,,,,
Chloe,drum,S10028,CO0099,RO0028,,Tom Elmhirst,CO0606,,,,,,,,,,,,,,,,,,
Andrew Cedar,drum,S10028,CO0032,RO0028,,Tom Herbert,CO0607,,,,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10028,CO0202,RO0024,,Tommy Coster,CO0608,,,,,,,,,,,,,,,,,,
Alka Ajith,mastering,S10028,CO0021,RO0051,,Tony Gilbert,CO0609,,,,,,,,,,,,,,,,,,
Javed Ali,mastering,S10028,CO0274,RO0051,,Tony Harnell,CO0610,,,,,,,,,,,,,,,,,,
Jubin Nautiyal,percussion,S10028,CO0323,RO0059,,Tony Perry,CO0611,,,,,,,,,,,,,,,,,,
Shreya Ghoshal,percussion,S10028,CO0560,RO0059,,Tor Erik Hermansen,CO0612,,,,,,,,,,,,,,,,,,
DJ Frank E,assistantMixingEngineer,S10028,CO0120,RO0007,,Travis Scott,CO0613,,,,,,,,,,,,,,,,,,
Marc Klasfeld,assistantMixingEngineer,S10028,CO0388,RO0007,,Trevor Adkinson,CO0614,,,,,,,,,,,,,,,,,,
Wiz Khalifa,acousticGuitar,S10028,CO0634,RO0001,,Trident,CO0615,,,,,,,,,,,,,,,,,,
Charlie Puth,acousticGuitar,S10028,CO0096,RO0001,,Trinh,CO0616,,,,,,,,,,,,,,,,,,
Liang,dataCollection,S10028,CO0366,RO0023,,Tupac Amaru Shakur,CO0617,,,,,,,,,,,,,,,,,,
Marc Klasfeld,bassGuitar,S10028,CO0388,RO0013,,Turdalieva,CO0618,,,,,,,,,,,,,,,,,,
Malavika,bassGuitar,S10028,CO0383,RO0013,,Tyruss Himes,CO0619,,,,,,,,,,,,,,,,,,
Guy A. Marco,keyboard,S10028,CO0218,RO0044,,V,CO0620,,,,,,,,,,,,,,,,,,
Andrew Cedar,keyboard,S10028,CO0032,RO0044,,Vecchiarelli,CO0621,,,,,,,,,,,,,,,,,,
Andrew Cedar,composer,S10028,CO0032,RO0019,,Veloso,CO0622,,,,,,,,,,,,,,,,,,
Javed Ali,mixingEngineer,S10028,CO0274,RO0054,,Vic Fuentes,CO0623,,,,,,,,,,,,,,,,,,
Krishnakumar Kunnath KK,mixingEngineer,S10028,CO0346,RO0054,,Viktoria Sunshine,CO0624,,,,,,,,,,,,,,,,,,
Charlie Puth,backgroundVoice,S10028,CO0096,RO0011,,Vladmimir Meller,CO0625,,,,,,,,,,,,,,,,,,
Marc Klasfeld,backgroundVoice,S10028,CO0388,RO0011,,Voskerchyan,CO0626,,,,,,,,,,,,,,,,,,
Annie,engineer,S10028,CO0039,RO0032,,Vu,CO0627,,,,,,,,,,,,,,,,,,
DJ Frank E,engineer,S10028,CO0120,RO0032,,Wayne Sermon,CO0628,,,,,,,,,,,,,,,,,,
Alka Yagnik,leadVoice,S10028,CO0022,RO0047,,Wesley Schultz,CO0629,,,,,,,,,,,,,,,,,,
Malavika,leadVoice,S10028,CO0383,RO0047,,Will Hicks,CO0630,,,,,,,,,,,,,,,,,,
Charlie Puth,assistantEngineer,S10028,CO0096,RO0006,,Will Quinnell,CO0631,,,,,,,,,,,,,,,,,,
Marc Klasfeld,assistantEngineer,S10028,CO0388,RO0006,,William Williams,CO0632,,,,,,,,,,,,,,,,,,
Krishnakumar Kunnath KK,producer,S10028,CO0346,RO0062,,William Wittman,CO0633,,,,,,,,,,,,,,,,,,
Shreya Ghoshal,producer,S10028,CO0560,RO0062,,Wiz Khalifa,CO0634,,,,,,,,,,,,,,,,,,
The Weeknd,bassGuitar,S10029,CO0597,RO0013,,Yeri Kang,CO0635,,,,,,,,,,,,,,,,,,
Max Martin,bassGuitar,S10029,CO0417,RO0013,,YongSeok Choi,CO0636,,,,,,,,,,,,,,,,,,
Oscar Holter,bassGuitar,S10029,CO0471,RO0013,,Yoshihiko Nakano,CO0637,,,,,,,,,,,,,,,,,,
The Weeknd,keyboard,S10029,CO0597,RO0044,,Yuji Naka,CO0638,,,,,,,,,,,,,,,,,,
